SHOP_ID,COMPANY_ID,SHOP_CD,SHOP_NAME,BUSINESS_STATUS,USE_DATE_BEGIN,ADDRESS,PROVINCE_DISTRICT,LATITUDE,LONGITUDE,OPEN_DATE,END_DATE,SUPERVISOR_AREA,DISTRICT_CODE,SALE_DISTRICT,PUBLISH_FLG,TYPE,CREATE_DATE,CREATE_USER,UPDATE_DATE,UPDATE_USER,DEL_FLG
011247,1,1247,北海路,1,2004/11/8,北海路247号109商铺,上海市,31.236006,121.485048,2004/11/8,2006/9/28,,0601,上海售价区,0,0,2014/9/25 11:36:37,BAT003,2014/9/25 11:36:37,BAT003,0
011248,1,1248,金钟路,1,2004/11/18,金钟路326号,上海市长宁区,31.225665,121.373662,2004/11/18,2006/11/30,,0601,上海售价区,0,0,2014/9/25 11:36:38,BAT003,2014/9/25 11:36:38,BAT003,0
011249,1,1249,原平路,1,2004/11/23,原平路837号,上海市闸北区,31.300392,121.437687,2004/11/23,2015/1/6,,0601,上海售价区,1,0,2015/2/4 01:00:34,BAT003,2015/2/4 01:00:34,BAT003,0
011250,1,1250,科苑路,0,2004/11/25,科苑路1131号,上海市浦东新区,31.198606,121.596925,2004/11/25,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:38,BAT003,2014/9/25 11:36:38,BAT003,0
011251,1,1251,古美路店,1,2004/11/30,古美路420号101室,上海市闵行区,31.148699,121.412372,2004/11/30,2007/10/10,,0601,上海售价区,0,0,2014/9/25 11:36:38,BAT003,2014/9/25 11:36:38,BAT003,0
011252,1,1252,西康路,0,2004/11/30,西康路255号,上海市静安区,31.236528,121.456832,2004/11/30,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:39,BAT003,2014/9/25 11:36:39,BAT003,0
011253,1,1253,崂山西路,0,2004/12/15,崂山西路1019号,上海市浦东新区,31.231175,121.52551,2004/12/15,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:39,BAT003,2014/9/25 11:36:39,BAT003,0
011255,1,1255,南汇大学城2号店,1,2004/12/21,大学诚科教园区学生生活区,上海市南汇区,,,2004/12/21,2012/12/28,,0601,上海售价区,0,0,2014/9/25 11:36:39,BAT003,2014/9/25 11:36:39,BAT003,0
011256,1,1256,松江大学城3号店,1,2004/12/22,文汇路288号翰莘食府内西侧,上海市松江区,31.055821,121.222209,2004/12/22,2014/6/29,,0601,上海售价区,0,0,2014/9/25 11:36:39,BAT003,2014/9/25 11:36:39,BAT003,0
011257,1,1257,东明路,1,2004/12/28,东明路2629弄13号,上海市浦东新区,31.15014,121.533713,2004/12/28,2010/1/14,,0601,上海售价区,0,0,2014/9/25 11:36:40,BAT003,2014/9/25 11:36:40,BAT003,0
